Period,Subdivision,Cropland_pct,Grassland_pct,Forest_pct,Wetland_pct,Cropland_area,Grassland_area,Forest_area,Wetland_area,Biodiversity_Score
Year-2000,Subdivision_1,48.42358998,22.44790823,17.9769513,,4842.358998,2244.790823,1797.69513,,0.482539595
Year-2001,Subdivision_1,51.33536248,22.96385289,17.74751423,,5133.536248,2296.385289,1774.751423,,0.463807634
Year-2002,Subdivision_1,51.47915682,22.624337,17.70899942,,5147.915682,2262.4337,1770.899942,,0.463585384
Year-2003,Subdivision_1,51.39275142,20.29983661,17.12994723,,5139.275142,2029.983661,1712.994723,,0.468173765
Year-2004,Subdivision_1,51.47501494,22.06384233,17.34440775,,5147.501494,2206.384233,1734.440775,,0.464366633
Year-2005,Subdivision_1,50.93031271,22.75294877,16.15643279,,5093.031271,2275.294877,1615.643279,,0.465068659
Year-2006,Subdivision_1,50.70495153,23.91069476,16.13054616,,5070.495153,2391.069476,1613.054616,,0.464079447
Year-2007,Subdivision_1,51.66483762,20.75060586,16.7667398,,5166.483762,2075.060586,1676.67398,,0.465276502
Year-2008,Subdivision_1,50.16196499,22.42277938,16.8207796,,5016.196499,2242.277938,1682.07796,,0.471003431
Year-2009,Subdivision_1,51.53798375,21.05422725,16.96499215,,5153.798375,2105.422725,1696.499215,,0.465628635
Year-2010,Subdivision_1,52.40427269,22.14519657,15.04447879,,5240.427269,2214.519657,1504.447879,,
Year-2011,Subdivision_1,51.89416397,20.58348316,16.84571284,,5189.416397,2058.348316,1684.571284,,0.464313763
Year-2012,Subdivision_1,52.06012254,22.32536442,14.17132105,,5206.012254,2232.536442,1417.132105,,0.457159857
Year-2013,Subdivision_1,53.24524964,20.32861702,15.46860142,,5324.524964,2032.861702,1546.860142,,0.45533987
Year-2014,Subdivision_1,52.97188701,22.90385202,14.19258854,,5297.188701,2290.385202,1419.258854,,0.450553562
Year-2015,Subdivision_1,52.91799303,20.94728375,14.7384573,,5291.799303,2094.728375,1473.84573,,0.455335932
Year-2016,Subdivision_1,51.96976931,21.73693191,14.18783975,,5196.976931,2173.693191,1418.783975,,0.45889536
